# Igbo Educational Content Synonyms for OpenSearch
# Mathematics and Numbers (Mgbako na Onụọgụgụ)
mgbako,mathematics,math,ọnụọgụgụ
ịgbakọ,addition,ntinye,plus
mwepu,subtraction,iwepụ,minus
ịba uba,multiplication,ịmụba,times
nkewa,division,ikewa,sharing
ọnụọgụgụ,number,nọmba,digit
efu,zero,ihe efu,nothing
otu,one,mbụ,first
abụọ,two,nke abụọ,second
atọ,three,nke atọ,third
anọ,four,nke anọ,fourth
ise,five,nke ise,fifth
isii,six,nke isii,sixth
asaa,seven,nke asaa,seventh
asatọ,eight,nke asatọ,eighth
itoolu,nine,nke itoolu,ninth
iri,ten,nke iri,tenth
narị,hundred,ọtụtụ,many
puku,thousand,ọtụtụ,numerous

# Language Arts (Asụsụ na Agụmagụ)
asụsụ,language,okwu,speech
ụtọ asụsụ,grammar,iwu asụsụ,language rules
ịgụ akwụkwọ,reading,study,ọmụmụ
ide,writing,composition,ede
akụkọ,story,akụkọ ifo,tale
abụ,poem,poetry,uri
mkpụrụ okwu,alphabet,akwụkwọ ozi,letters
okwu,word,aha,name
ahịrịokwu,sentence,phrase,statement
akwụkwọ ozi,letter,ozi,message
edemede,essay,article,ọdịde
agụmagụ,literature,akwụkwọ,books
okwu ọnụ,speech,nkwuwa okwu,lecture
mkparịta ụka,conversation,discussion,nkwurịta okwu

# Science (Sayensị)
sayensị,science,ọmụmụ ihe,knowledge
okike,nature,natural,eke
sayensị ndụ,biology,ihe ndụ,living things
sayensị ihe,chemistry,chemical,kemịkal
sayensị okike,physics,physical,anụ ahụ
ụwa,earth,ala,ground
mbara igwe,sky,space,ohere
anyanwụ,sun,kpakpando,star
ọnwa,moon,ọnwa,lunar
kpakpando,stars,constellation,ụkpụrụ kpakpando
mmiri,water,H2O,liquid
ikuku,air,wind,ifufe
ọkụ,fire,flame,ọgbụgba
ìhè,light,illumination,ọkụ
ụda,sound,noise,mkpọtụ
ọsọ,motion,movement,ngagharị
ike,force,power,ume
ike,energy,power,ume

# Social Studies (Ọmụmụ Mmadụ na Ọha)
akụkọ ihe mere eme,history,historical,akụkọ
ọdịdị ala,geography,geographical,ala
ọmenala,culture,cultural,ọdịnala
mmekọrịta mmadụ,society,social,ọha
ndọrọ ndọrọ ọchịchị,politics,political,ọchịchị
akụ na ụba,economics,economic,ego
obodo,country,nation,mba
steeti,state,province,mpaghara
obodo ukwu,city,town,nnukwu obodo
obodo nta,village,rural,ime obodo
ọdịnala,tradition,custom,omenala
emume,festival,celebration,ọṅụ
okpukpe,religion,faith,nkwenye
iwu,law,legal,iwu kwụ ọtọ
ọchịchị,government,administration,njikwa

# School Terms (Okwu Ụlọ Akwụkwọ)
ụlọ akwụkwọ,school,ebe mmụta,education place
onye nkụzi,teacher,instructor,nna ukwu
nwa akwụkwọ,student,learner,onye mmụta
klaasị,class,classroom,ọnọdụ
ule,exam,test,assessment
ọrụ ụlọ,homework,assignment,ọrụ
akwụkwọ,book,text,ọgụgụ
akwụkwọ mpempe,notebook,copy,akwụkwọ ọdịde
mkpịsị akwụkwọ,pen,pencil,ngwa ede
bọọdụ,board,blackboard,ebe ederede
nzu,chalk,white chalk,ọcha
okpokoro,desk,table,ebe ọdịnọdụ
oche,chair,seat,ebe ịnọdụ ala
akpa akwụkwọ,bag,backpack,akpa

# Time and Calendar (Oge na Kalenda)
oge,time,period,awa
ụbọchị,day,daylight,ehihie
abalị,night,darkness,ọchịchịrị
ụtụtụ,morning,dawn,isi ụtụtụ
ehihie,afternoon,noon,etiti ụbọchị
anyasị,evening,dusk,mgbede
izu,week,seven days,izu ụka
ọnwa,month,thirty days,iri ụbọchị atọ
