# Kikuyu Educational Content Synonyms for OpenSearch
# Mathematics and Numbers (Mabataro na Namba)
mabataro,mathematics,math,namba
kuongera,addition,kuhurura,plus
kuunana,subtraction,kuhoya,minus
gukuragia,multiplication,kuragia,times
kugayania,division,kugayia,sharing
namba,number,muigana,digit
itiri,zero,gũtirĩ kĩndũ,nothing
ĩmwe,one,ya mbere,first
igĩrĩ,two,ya keerĩ,second
ithatũ,three,ya gatatũ,third
inya,four,ya kana,fourth
ithano,five,ya gatano,fifth
ithathatũ,six,ya gatandatũ,sixth
mũgwanja,seven,ya mũgwanja,seventh
inyanya,eight,ya kanana,eighth
kenda,nine,ya kenda,ninth
ikũmi,ten,ya ikũmi,tenth
igana,hundred,aingĩ,many
ngiri,thousand,aingĩ mũno,numerous

# Language Arts (Rũthiomi na Mwandĩko)
rũthiomi,language,ciarĩo,speech
kiruma,grammar,mĩthiturire ya rũthiomi,language rules
gũthoma,reading,gũthoma ibuku,study
kwandĩka,writing,mwandĩko,composition
rũgano,story,nhenga,tale
rwĩmbo,poem,poetry,nyĩmbo
alfabeto,alphabet,mbarua,letters
kiugo,word,rĩĩtwa,name
rũgingo,sentence,kĩario,statement
barua,letter,marũa,message
mwandĩko,essay,ũhoro,article
ibuku,literature,mabuku,books
mariĩra,speech,mariĩra,lecture
kaaria,conversation,kaaria,discussion

# Science (Ũtaaro)
ũtaaro,science,ũmenyo,knowledge
gĩkeno,nature,maitho,environment
biology,biology,cĩũmbe cia muoyo,living things
chemistry,chemistry,ikemikerĩ,chemical
physics,physics,mwĩrĩ,physical
thĩ,earth,tĩĩri,ground
igũrũ,sky,kũraya,space
riũa,sun,njata,star
mweri,moon,ũtheri wa ũtukũ,lunar
njata,stars,njata,constellation
maaĩ,water,H2O,maaĩ
rũhuho,air,rũhuho,wind
mwaki,fire,rũrĩrĩ,flame
ũtheri,light,ũtheri,illumination
mũgambo,sound,kĩrĩ,noise
gũthiĩ,motion,wĩra,movement
hinya,force,hinya,power
hinya,energy,hinya,power

# Social Studies (Ũtũire wa Andũ)
rũgano rwa tene,history,maũndũ ma mahinda,historical
mabũrũri,geography,kũndũ,geographical
mĩtugo,culture,mĩtugo,cultural
kĩrĩndĩ,society,andũ,social
ũtongoria,politics,thirikari,political
ũgĩmi,economics,mbeeca,economic
bũrũri,country,rũrĩrĩ,nation
kaunti,state,kĩhingo,province
itũũra,city,itũũra,town
gatĩ,village,ndũnyũ-inĩ,rural
mũtugo,tradition,mĩtugo,custom
gĩkeno,festival,gĩkeno,celebration
itĩĩno,religion,wetĩkio,faith
watho,law,kĩhooto,legal
thirikari,government,gwatha,administration

# School Terms (Ciugo cia Cukuru)
cukuru,school,kũndũ kwa gũthoma,education place
mũruti,teacher,mũmĩ,instructor
mũthomi,student,mũthomi,learner
gĩtharĩ,class,nyũmba ya gũthoma,classroom
mũgeeto,exam,mũgeeto,test
wĩra wa mũciĩ,homework,wĩra,assignment
ibuku,book,mwandĩko,text
ibuku rĩa mwandĩko,notebook,ibuku,copy
karamu,pen,karamu,writing tool
bũrĩti,board,bũrĩti mũirũ,blackboard
cokĩ,chalk,cokĩ mwerũ,white chalk
metha,desk,metha,table
gĩtĩ,chair,kũndũ gwa gũikara,seat
mũkwa,bag,mũkwa wa mabuku,backpack

# Time and Calendar (Ihinda na Karendara)
ihinda,time,ihinda,period
mũthenya,day,mũthenya,daylight
ũtukũ,night,nduma,darkness
