# Xhosa Educational Content Synonyms for OpenSearch
# Mathematics and Numbers (IMathematika namaNamela)
imathematika,mathematics,math,amanani
ukudibanisa,addition,ukongeza,plus
ukuthabatha,subtraction,ukunciphisa,minus
ukuphinda-phinda,multiplication,ukuphindaphinda,times
ukwahlula,division,ukwabiwa,sharing
inani,number,inombolo,digit
iqanda,zero,akukho nto,nothing
nye,one,wokuqala,first
mbini,two,wesibini,second
ntathu,three,wesithathu,third
ne,four,wesine,fourth
ntlanu,five,wesihlanu,fifth
ntandathu,six,wesithandathu,sixth
sixhenxe,seven,wesixhenxe,seventh
sibhozo,eight,wesibhozo,eighth
lithoba,nine,welithoba,ninth
lishumi,ten,welishumi,tenth
likhulu,hundred,abaninzi,many
liwaka,thousand,abaninzi kakhulu,numerous

# Language Arts (IiLwimi neNcwadi)
ulwimi,language,ilwimi,speech
igramari,grammar,imithetho yolwimi,language rules
ukufunda,reading,ukufunda iincwadi,study
ukubhala,writing,ukubhalwa,composition
ibali,story,intsomi,tale
isixokelelwana,poem,poetry,iinkcazelo
ialfabhethi,alphabet,oonobumba,letters
igama,word,igama,name
isivakalisi,sentence,isinongo,statement
ileta,letter,umyalezo,message
isincoko,essay,amanqaku,article
uncwadi,literature,iincwadi,books
intetho,speech,intetho,lecture
incoko,conversation,ingxoxo,discussion

# Science (Isayensi)
isayensi,science,ulwazi,knowledge
indalo,nature,okuvelayo,environment
ibhayoloji,biology,izinto eziphilayo,living things
ikhemistri,chemistry,amakhemikhali,chemical
ifiziksi,physics,umzimba,physical
umhlaba,earth,umhlaba,ground
isibhakabhaka,sky,isithuba,space
ilanga,sun,inkwenkwezi,star
inyanga,moon,ukukhanya ebusuku,lunar
iinkwenkwezi,stars,iinkwenkwezi,constellation
amanzi,water,H2O,amanzi
umoya,air,umoya,wind
umlilo,fire,idangatye,flame
ukukhanya,light,ukukhanya,illumination
isandi,sound,ingxolo,noise
ukuhamba,motion,ukusebenza,movement
amandla,force,amandla,power
amandla,energy,amandla,power

# Social Studies (IziFundo zeNtlalo)
imbali,history,izinto ezidlulileyo,historical
ijografi,geography,iindawo,geographical
inkcubeko,culture,amasiko,cultural
uluntu,society,abantu,social
ezopolitiko,politics,urhulumente,political
uqoqosho,economics,imali,economic
ilizwe,country,isizwe,nation
